iter	Logloss
0	0.6095051033
1	0.5420017033
2	0.4875178402
3	0.4436233177
4	0.4082481264
5	0.3796343988
6	0.356523062
7	0.3378079031
8	0.3226108952
9	0.3102613731
10	0.3001640253
11	0.2919003802
12	0.2851347012
13	0.2795767027
14	0.2749897827
15	0.2711762886
16	0.2680332917
17	0.2654237448
18	0.2632807683
19	0.2614702994
20	0.259956226
21	0.2587015559
22	0.2576270284
23	0.2567442491
24	0.2559935147
25	0.2553564648
26	0.2548314574
27	0.254381506
28	0.2540021847
29	0.2536844413
30	0.2533755291
31	0.2531327435
32	0.2529234353
33	0.2527412924
34	0.2525787421
35	0.2524307545
36	0.2522956563
37	0.2521772467
38	0.2520746623
39	0.2519617448
40	0.2518805161
41	0.2518010262
42	0.2517127421
43	0.2516474283
44	0.2515841152
45	0.2515123076
46	0.2514324219
47	0.2513754688
48	0.2513049637
49	0.2512352762
50	0.2511794769
51	0.2511228505
52	0.2510560041
53	0.2510023076
54	0.2509614232
55	0.2509065012
56	0.2508585957
57	0.2508117106
58	0.2507633528
59	0.2507123764
60	0.2506549264
61	0.2505914807
62	0.2505409605
63	0.2504774601
64	0.2504237462
65	0.250378569
66	0.2503442328
67	0.2503048169
68	0.2502539159
69	0.2501943474
70	0.2501716123
71	0.250120291
72	0.2500854136
73	0.2500405682
74	0.2499762937
75	0.2499307997
76	0.2498816
77	0.2498292472
78	0.2497811399
79	0.2497306899
80	0.2496828121
81	0.2496394852
82	0.2495913743
83	0.2495361189
84	0.2494813455
85	0.2494545568
86	0.249411599
87	0.2493602374
88	0.2492994155
89	0.2492576744
90	0.2492129693
91	0.2491689542
92	0.249114998
93	0.2490681722
94	0.2490358224
95	0.2489779452
96	0.2489231178
97	0.2488702166
98	0.2488102175
99	0.2487594135
100	0.248741307
101	0.2486945283
102	0.2486441522
103	0.2486070653
104	0.2485555967
105	0.248502974
106	0.2484560088
107	0.2484171904
108	0.248366874
109	0.2483166472
110	0.248271165
111	0.2482222334
112	0.2481696274
113	0.2481156375
114	0.2480919625
115	0.2480453084
116	0.2479948431
117	0.2479500794
118	0.2479088929
119	0.2478679755
120	0.2478253335
121	0.2477770109
122	0.247752122
123	0.2477181741
124	0.2476874319
125	0.2476357808
126	0.2475886809
127	0.2475368623
128	0.2474716325
129	0.2474350822
130	0.247385017
131	0.2473518846
132	0.2473109255
133	0.2472632043
134	0.2472067768
135	0.2471442934
136	0.2470865808
137	0.2470519671
138	0.2470141317
139	0.2469730289
140	0.2469321849
141	0.2468783627
142	0.2468462222
143	0.2468017661
144	0.2467607217
145	0.2467134924
146	0.2466600762
147	0.2466174806
148	0.2465778333
149	0.2465454149
150	0.2464968644
151	0.2464294247
152	0.2463702071
153	0.2463104909
154	0.2462507057
155	0.2462145916
156	0.2461654426
157	0.2461126284
158	0.2460867307
159	0.2460341778
160	0.2459934718
161	0.2459535404
162	0.2459231959
163	0.2458834424
164	0.2458572526
165	0.2458263808
166	0.2457828801
167	0.2457435484
168	0.2457009983
169	0.2456763952
170	0.2456252631
171	0.245583461
172	0.2455332202
173	0.245480478
174	0.2454485872
175	0.2454155363
176	0.2453500435
177	0.2452807021
178	0.2452330262
179	0.2451742902
180	0.2451267112
181	0.245111593
182	0.2450500168
183	0.2450238859
184	0.2449783439
185	0.2449124307
186	0.2448743114
187	0.2448401859
188	0.2447799063
189	0.2447101635
190	0.2446775488
191	0.2446300256
192	0.2445677545
193	0.2445175946
194	0.2444359873
195	0.2443698945
196	0.2443354596
197	0.2442962215
198	0.2442482543
199	0.2441916837
200	0.2441588612
201	0.2440938906
202	0.2440713169
203	0.2440220622
204	0.2439568121
205	0.2439073997
206	0.2438513473
207	0.2437842479
208	0.2437265978
209	0.2436677818
210	0.2436324239
211	0.2435949775
212	0.2435556784
213	0.2435297832
214	0.2434789881
215	0.2434454239
216	0.2434152962
217	0.243365114
218	0.2432964583
219	0.243243056
220	0.2431829166
221	0.2431206595
222	0.2430820671
223	0.2430443644
224	0.2429605855
225	0.2429134269
226	0.2428438054
227	0.2428074386
228	0.2427599384
229	0.2427325594
230	0.2427014295
231	0.2426512934
232	0.2425780182
233	0.2425345418
234	0.2424875792
235	0.2424585139
236	0.2424150268
237	0.2423880656
238	0.2423216991
239	0.2422947198
240	0.2422386284
241	0.2421663535
242	0.2421336727
243	0.2420951054
244	0.2420141601
245	0.2419634387
246	0.2419104635
247	0.2418595624
248	0.2418173744
249	0.2417673828
250	0.2417162335
251	0.2416500205
252	0.2416012747
253	0.241542174
254	0.2414954615
255	0.2414233559
256	0.2413817206
257	0.2413173227
258	0.241257692
259	0.2412022337
260	0.2411482039
261	0.241111517
262	0.2410668775
263	0.2410392749
264	0.2410023599
265	0.2409545997
266	0.2409028394
267	0.2408621449
268	0.2408167959
269	0.240755044
270	0.240721446
271	0.2406601542
272	0.2406403029
273	0.2405978918
274	0.2405419838
275	0.240507286
276	0.2404688602
277	0.2404078129
278	0.240349512
279	0.2403064701
280	0.2402600418
281	0.2402180189
282	0.2401718193
283	0.2401138517
284	0.2400684089
285	0.2400060085
286	0.2399508558
287	0.239883457
288	0.2398160764
289	0.2397654514
290	0.2397155257
291	0.2397004277
292	0.2396408026
293	0.2395796617
294	0.2395360214
295	0.2394691524
296	0.2394160882
297	0.2393624498
298	0.2393135023
299	0.2392594511
300	0.2391896499
301	0.2391496204
302	0.2390816373
303	0.2390326673
304	0.2389662739
305	0.2389007128
306	0.238842819
307	0.2387982182
308	0.2387218672
309	0.2386826563
310	0.2386583847
311	0.2385883068
312	0.2385437806
313	0.2384858334
314	0.238476175
315	0.2384453005
316	0.2383764606
317	0.2383110728
318	0.2382640894
319	0.2382375446
320	0.2381834538
321	0.238141124
322	0.238105304
323	0.2380420286
324	0.2380181897
325	0.2379678814
326	0.2379046454
327	0.2378578559
328	0.2377885366
329	0.2377397943
330	0.2377037475
331	0.2376511385
332	0.237600668
333	0.2375653892
334	0.2375076343
335	0.2374605493
336	0.2374145009
337	0.2373670963
338	0.2373288821
339	0.237289802
340	0.2372672232
341	0.2372230652
342	0.2371822256
343	0.2371421525
344	0.2370933177
345	0.237028716
346	0.236985624
347	0.2369447181
348	0.236902416
349	0.2368564644
350	0.2368258776
351	0.2367848965
352	0.2367378241
353	0.2366982158
354	0.2366519658
355	0.2366178408
356	0.2365708551
357	0.2365272405
358	0.23647299
359	0.2364365524
360	0.236383967
361	0.2363478927
362	0.2363032447
363	0.2362459245
364	0.2361868473
365	0.2361219887
366	0.2360874963
367	0.2360319779
368	0.2359886957
369	0.2359455081
370	0.2359164214
371	0.2358749374
372	0.2358355644
373	0.2357957377
374	0.2357581107
375	0.2357226594
376	0.235683764
377	0.2356528148
378	0.235603436
379	0.2355745249
380	0.2355359563
381	0.2354722236
382	0.2354083531
383	0.235369569
384	0.2353114178
385	0.2352986071
386	0.2352543657
387	0.2352112679
388	0.2351541115
389	0.2351093834
390	0.2350775653
391	0.2350218483
392	0.2349856908
393	0.2349263707
394	0.2348889041
395	0.2348551519
396	0.2348232459
397	0.2347986505
398	0.2347668635
399	0.2347375293
400	0.2346945456
401	0.2346417933
402	0.234632942
403	0.2346051734
404	0.2345654222
405	0.2345347127
406	0.2344993091
407	0.2344454907
408	0.2343915199
409	0.2343461459
410	0.234325604
411	0.2342716232
412	0.2342349237
413	0.2342126213
414	0.2341667335
415	0.2341323729
416	0.234087022
417	0.2340793972
418	0.2340351031
419	0.2340009624
420	0.2339660499
421	0.233944872
422	0.2339142284
423	0.233871598
424	0.2338251149
425	0.2337972997
426	0.2337643871
427	0.2336961519
428	0.2336466899
429	0.233594302
430	0.2335542126
431	0.2334921585
432	0.2334493606
433	0.2334225973
434	0.2333848445
435	0.2333485628
436	0.2332884094
437	0.2332523718
438	0.2332168639
439	0.2331649055
440	0.2331163376
441	0.2330916056
442	0.2330479388
443	0.2330165559
444	0.2329653753
445	0.232922131
446	0.232880927
447	0.2328585131
448	0.2328120702
449	0.2327726594
450	0.2327323419
451	0.2326942411
452	0.2326615861
453	0.2326168882
454	0.2325923866
455	0.2325476292
456	0.2325128581
457	0.2324782863
458	0.2324339162
459	0.2323726242
460	0.2323209875
461	0.2322738544
462	0.2322563288
463	0.2322059397
464	0.2321791671
465	0.2321462354
466	0.2321073468
467	0.2320801438
468	0.232043406
469	0.2320008522
470	0.2319625201
471	0.2319336966
